localization,price,area,rooms,status,floor,heating_type,size,balkon,ogródek,taras
 Krowodrza,770018.0,48.89,2.0,do wykończenia,1,miejskie,medium,1,0,0
 Krowodrza,643000.0,42.92,2.0,do wykończenia,1,miejskie,medium,1,0,0
 Krowodrza,985000.0,56.0,2.0,do zamieszkania,1,miejskie,medium,1,0,0
 Prądnik Biały,963528.0,63.39,3.0,do wykończenia,1,miejskie,large,1,0,0
 Łagiewniki-Borek Fałęcki,695296.45,67.58,3.0,do zamieszkania,0,gazowe,large,1,1,1
 Podgórze Duchackie,599000.0,31.67,2.0,do zamieszkania,2,miejskie,medium,1,0,0
 Stare Miasto,765000.0,27.0,1.0,do zamieszkania,0,elektryczne,small,0,1,0
 Prądnik Biały,1091662.0,76.34,3.0,do wykończenia,1,miejskie,large,1,0,0
 Bieżanów-Prokocim,826298.0,58.19,2.0,do wykończenia,2,miejskie,medium,1,0,0
 Podgórze,629000.0,33.17,1.0,do zamieszkania,0,gazowe,medium,1,0,0
 Prądnik Czerwony,878000.0,57.25,2.0,do wykończenia,0,miejskie,medium,0,1,0
 Prądnik Biały,873062.0,57.25,2.0,do wykończenia,4,miejskie,medium,1,0,0
 Dębniki,599000.0,44.77,2.0,do wykończenia,1,miejskie,medium,1,0,0
 Nowa Huta,630000.0,46.74,2.0,do zamieszkania,1,miejskie,medium,1,0,0
 Zwierzyniec,1535300.0,61.91,3.0,do zamieszkania,1,miejskie,large,1,0,0
 Podgórze Duchackie,799000.0,47.7,2.0,do zamieszkania,7,miejskie,medium,1,0,0
 Bieńczyce,489000.0,25.5,2.0,do zamieszkania,4,miejskie,small,0,1,0
 Prądnik Biały,904115.0,58.33,2.0,do wykończenia,5,miejskie,medium,1,0,0
 Podgórze Duchackie,881854.0,65.81,3.0,do wykończenia,1,miejskie,large,1,0,0
 Podgórze,750000.0,47.0,2.0,do wykończenia,3,gazowe,medium,1,0,0
 Prądnik Czerwony,1900000.0,118.2,4.0,do wykończenia,2,miejskie,huge,0,0,1
 Podgórze,1290000.0,76.0,4.0,do zamieszkania,3,miejskie,large,1,1,0
 Krowodrza,698800.0,44.0,2.0,do zamieszkania,2,gazowe,medium,1,1,0
 Prądnik Czerwony,750000.0,39.0,2.0,do zamieszkania,1,miejskie,medium,1,0,0
 Zwierzyniec,1535300.0,61.91,3.0,do zamieszkania,1,miejskie,large,1,0,0
 Stare Miasto,1270000.0,44.01,2.0,do zamieszkania,1,miejskie,medium,1,0,0
 Bieńczyce,689000.0,48.0,3.0,do zamieszkania,3,miejskie,medium,1,0,0
 Krowodrza,985000.0,56.0,3.0,do zamieszkania,1,miejskie,medium,1,0,0
 Zwierzyniec,1349000.0,68.75,3.0,do wykończenia,1,miejskie,large,1,0,0
 Dębniki,721728.0,42.96,2.0,do wykończenia,1,miejskie,medium,1,0,0
 Podgórze,568432.2,33.01,2.0,do wykończenia,3,miejskie,medium,1,0,0
 Łagiewniki-Borek Fałęcki,695296.45,67.58,4.0,do zamieszkania,0,gazowe,large,1,1,1
 Podgórze,1045690.0,103.69,5.0,do wykończenia,2,miejskie,huge,1,0,0
 Krowodrza,770018.0,48.89,3.0,do wykończenia,1,miejskie,medium,1,0,0
 Zwierzyniec,1426000.0,51.0,2.0,do zamieszkania,2,gazowe,medium,1,0,0
